Titanic
Amelie
The Big Blue
The Legend of 1900
A Very Long Engagement
In the Mood for Love
Forrest Gump
American Beauty
Doctor Zhivago
The Curious Case of Benjamin Button
The Piano
Eternal Sunshine of the Spotless Mind
Cold Mountain
The Apartment
Gone with the Wind
Slumdog Millionaire
The Notebook
Casablanca
City Lights
Last Tango in Paris
Heaven
Baran
Once
Scott Pilgrim vs. the World
The Artist
Groundhog Day
Before Sunrise
Mr. Nobody
Atonement
The Reader
Midnight in Paris
Gloomy Sunday
Angel-A
Match Point
The Best Offer
Her
(500) Days of Summer
Silver Linings Playbook
Juno
The Fountain
Up in the Air
Les Mise+A16rables
Three Colors: Red
About Time
Singin' in the Rain
Amour
Love Actually
The Circus
The Dreamers
Before Midnight
Stranger Than Fiction
Moulin Rouge!
3-Iron
The Theory of Everything
The Great Gatsby
Blue Is the Warmest Color
Revolutionary Road
Trilogy: The Weeping Meadow
Three Colors: Blue
Brokeback Mountain
Talk to Her
Tootsie
Who's Afraid of Virginia Woolf?
Annie Hall
Little Children
King Kong
The Perks of Being a Wallflower
Before Sunset
Sabrina
Irma la Douce
Inherent Vice
Moonrise Kingdom
The Illusionist
Three Colors: White
The Sound of Music
Enemy at the Gates
Lolita
Out of Africa
Shine
The Graduate
Blue Valentine
The Age of Innocence
City of Angels
Top Gun
Vicky Cristina Barcelona
Ghost
Crazy Heart
A Star Is Born
If Only
The Star Maker
The Philadelphia Story
Unfaithful
The Bridges of Madison County
When Harry Met Sally...
Love Story
My Fair Lady
Grease
Pearl Harbor
The Bodyguard
