Title
The Dark Knight
Heat
Inception
Kill Bill: Vol. 1
Gladiator
Saving Private Ryan
Terminator 2: Judgment Day
The Bourne Ultimatum
The Dark Knight Rises
The Matrix
Minority Report
Hot Fuzz
Kill Bill: Vol. 2
The Fugitive
Ghost Dog: The Way of the Samurai
Casino Royale
Mission: Impossible
Apocalypto
Mission: Impossible II
Face/Off
Die Hard
Desperado
Indiana Jones and the Last Crusade
The Matrix Reloaded
Avatar
RoboCop
The Terminator
True Lies
Ronin
Die Hard: With a Vengeance
Mad Max: Fury Road
Sherlock Holmes
Enemy of the State
V for Vendetta
Taken
Grindhouse
Batman Begins
Crank
Spy Game
Scott Pilgrim vs. the World
The Score
The Matrix Revolutions
Raiders of the Lost Ark
Midnight Run
Kick-Ass
The World's End
Rush
Spider-Man
Avengers: Age of Ultron
Lethal Weapon 4
Running Scared
Looper
Sherlock Holmes: A Game of Shadows
The Boondock Saints
The Avengers
Vantage Point
Spider-Man 2
The Bourne Supremacy
Mission: Impossible - Rogue Nation
Lethal Weapon
La Femme Nikita
Machete
Fast Five
Skyfall
Spider-Man 3
Die Hard 2
Mission: Impossible - Ghost Protocol
Faster
Man on Fire
Ant-Man
Guardians of the Galaxy
Kingsman: The Secret Service
Predator
Furious 7
Lethal Weapon 2
The Expendables
King Kong
Terminator 3: Rise of the Machines
Bullitt
Equilibrium
Assassins
Live Free or Die Hard
X-Men: Days of Future Past
Wanted
Fast & Furious
Bad Boys
Mr. & Mrs. Smith
16 Blocks
The Rundown
El mariachi
Jurassic World
Thief
The Rock
The Bourne Identity
John Wick
Transformers: Dark of the Moon
Waterworld
Captain America: The Winter Soldier
Speed
Rambo
The Amityville Horror
The Island
The Texas Chainsaw Massacre: The Beginning
The Hitcher
Transformers
The Unborn
Friday the 13th
Horsemen
Transformers: Revenge of the Fallen
A Nightmare on Elm Street
I Am Number Four
Transformers: Dark of the Moon
Pain & Gain
Transformers: Age of Extinction
Teenage Mutant Ninja Turtles
Project Almanac
13 Hours: The Secret Soldiers of Benghazi
Teenage Mutant Ninja Turtles: Out of the Shadows
The Avengers
Captain America: The Winter Soldier
Iron Man
X2
Deadpool
Guardians of the Galaxy
Avengers: Age of Ultron
Ant-Man
Spider-Man 2
X-Men: Days of Future Past
The Amazing Spider-Man
Spider-Man
X-Men: First Class
X-Men
Iron Man 3
The Wolverine
Thor
Captain America: The First Avenger
Thor: The Dark World
Blade
Iron Man 2
The Incredible Hulk
X-Men: The Last Stand
The Amazing Spider-Man 2
