The Godfather
The Godfather: Part II
The Dark Knight
Pulp Fiction
Heat
Leon: The Professional
Gladiator
Schindler's List
Titanic
Crash
Saving Private Ryan
The Departed
The Shawshank Redemption
Black Swan
Fight Club
No Country for Old Men
A Very Long Engagement
Children of Heaven
Gran Torino
Raging Bull
The Legend of 1900
Eyes Wide Shut
Stalag 17
The Green Mile
Mulholland Dr.
Million Dollar Baby
Dog Day Afternoon
Little Miss Sunshine
The Pianist
Amores Perros
The Boy in the Striped Pajamas
1900
One Flew Over the Cuckoo's Nest
Forrest Gump
The Big Blue
The Usual Suspects
In the Mood for Love
American Beauty
Papillon
Ghost Dog: The Way of the Samurai
Scarface
Dances with Wolves
Gangs of New York
The Grand Budapest Hotel
A Separation
The Game
21 Grams
Collateral
Carlito's Way
Mystic River
Taxi Driver
Babel
Serpico
The Hunt
Bicycle Thieves
The Prestige
Chinatown
The Wrestler
There Will Be Blood
Once Upon a Time in America
Braveheart
The Bridge on the River Kwai
Downfall
Interstellar
Birdman or (The Unexpected Virtue of Ignorance)
Oldboy
City of God
Big Fish
12 Years a Slave
The Godfather: Part III
The Wolf of Wall Street
The Curious Case of Benjamin Button
A Beautiful Mind
Gone Girl
The Silence of the Lambs
Amadeus
La Strada
The Sting
Casablanca
Her
The Great Escape
Inglourious Basterds
Catch Me If You Can
Straw Dogs
Eternal Sunshine of the Spotless Mind
Modern Times
Goodfellas
Citizen Kane
Gone with the Wind
Requiem for a Dream
JFK
A Clockwork Orange
12 Angry Men
Slumdog Millionaire
Doctor Zhivago
A Streetcar Named Desire
Cinema Paradiso
On the Waterfront
War Horse
